joint_pos, joint_vel_desired, joint_vel_filtered, current_time
0.380864,0.000605497,5.03031e-07,0.944
0.380864,0.000610554,2.79685e-07,0.948
0.380864,0.000615632,1.55505e-07,0.952
0.380864,0.00062073,8.64608e-08,0.956
0.380864,0.000625848,4.80722e-08,0.96
0.380864,0.000630987,2.67282e-08,0.964
0.380864,0.000636146,1.48609e-08,0.968
0.380864,0.000641325,8.26263e-09,0.972
0.380864,0.000646524,4.59403e-09,0.976
0.380864,0.000651744,2.55428e-09,0.98
0.380864,0.000656984,1.42018e-09,0.984
0.380864,0.000662244,7.89619e-10,0.988
0.380864,0.000667524,4.39028e-10,0.992
0.380864,0.000672825,2.441e-10,0.996
0.380864,0.000678146,1.35719e-10,1
0.380864,0.000683487,7.546e-11,1.004
0.380864,0.000688848,4.19558e-11,1.008
0.380864,0.000694229,2.33274e-11,1.012
0.380864,0.000699631,1.297e-11,1.016
0.380864,0.000705052,7.21134e-12,1.02
0.380864,0.000710494,4.00951e-12,1.024
0.380864,0.000715956,2.22929e-12,1.028
0.380864,0.000721438,1.23948e-12,1.032
0.380864,0.00072694,6.89152e-13,1.036
0.380864,0.000732462,3.83169e-13,1.04
0.380864,0.000738005,2.13042e-13,1.044
0.380864,0.000743567,1.18451e-13,1.048
0.380864,0.00074915,6.58589e-14,1.052
0.380864,0.000754752,3.66175e-14,1.056
0.380864,0.000760375,2.03594e-14,1.06
0.380864,0.000766018,1.13198e-14,1.064
0.380864,0.000771681,6.29381e-15,1.068
0.380864,0.000777363,3.49936e-15,1.072
0.380864,0.000783066,1.94564e-15,1.076
0.380864,0.000788789,1.08178e-15,1.08
0.380864,0.000794532,6.01468e-16,1.084
0.380864,0.000800295,3.34416e-16,1.088
0.380864,0.000806078,1.85935e-16,1.092
0.380864,0.000811881,1.0338e-16,1.096
0.380864,0.000817704,5.74794e-17,1.1
0.380864,0.000823546,3.19585e-17,1.104
0.380864,0.000829409,1.77689e-17,1.108
0.380864,0.000835292,9.87953e-18,1.112
0.380864,0.000841194,5.49302e-18,1.116
0.380864,0.000847117,3.05412e-18,1.12
0.380864,0.00085306,1.69809e-18,1.124
0.380864,0.000859022,9.44138e-19,1.128
0.380864,0.000865004,5.24941e-19,1.132
0.380864,0.000871006,2.91867e-19,1.136
0.380864,0.000877029,1.62278e-19,1.14
0.380864,0.000883071,9.02266e-20,1.144
0.380864,0.000889132,-7.6699e-05,1.148
0.380864,0.000895214,3.40544e-05,1.152
0.380864,0.000901316,1.89342e-05,1.156
0.380864,0.000907437,1.05274e-05,1.16
0.380864,0.000913578,5.85325e-06,1.164
0.380864,0.000919739,3.25441e-06,1.168
0.380864,0.00092592,1.80945e-06,1.172
0.380864,0.000932121,1.00605e-06,1.176
0.380864,0.000938341,5.59366e-07,1.18
0.380864,0.000944581,3.11008e-07,1.184
0.380864,0.000950841,1.7292e-07,1.188
0.380864,0.000957121,9.61437e-08,1.192
0.380864,0.000963421,5.34559e-08,1.196
0.380864,0.00096974,2.97215e-08,1.2
0.380864,0.000976079,1.65251e-08,1.204
0.380864,0.000982438,9.18798e-09,1.208
0.380864,0.000988816,5.10852e-09,1.212
0.380864,0.000995214,2.84033e-09,1.216
0.380864,0.00100163,1.57923e-09,1.22
0.380864,0.00100807,8.7805e-10,1.224
0.380864,0.00101453,4.88196e-10,1.228
0.380864,0.001021,2.71437e-10,1.232
0.380864,0.0010275,1.50919e-10,1.236
0.380864,0.00103402,8.39109e-11,1.24
0.380864,0.00104055,4.66544e-11,1.244
0.380864,0.00104711,-3.83495e-05,1.248
0.380864,0.00105368,1.70272e-05,1.252
0.380864,0.00106028,9.46712e-06,1.256
0.380864,0.00106689,5.26372e-06,1.26
0.380864,0.00107353,2.92663e-06,1.264
0.380864,0.00108018,1.62721e-06,1.268
0.380864,0.00108685,9.04726e-07,1.272
0.380864,0.00109355,5.03028e-07,1.276
0.380864,0.00110026,2.79683e-07,1.28
0.380864,0.00110699,1.55504e-07,1.284
0.380864,0.00111374,8.64602e-08,1.288
0.380865,0.00112051,3.83976e-05,1.292
0.380864,0.0011273,-1.70005e-05,1.296
0.380864,0.00113411,-9.45225e-06,1.3
0.380864,0.00114094,-5.25545e-06,1.304
0.380864,0.00114779,-7.96211e-05,1.308
0.380864,0.00115466,3.24297e-05,1.312
0.380864,0.00116155,1.80309e-05,1.316
0.380864,0.00116846,1.00252e-05,1.32
0.380864,0.00117538,5.57401e-06,1.324
0.380864,0.00118233,3.09915e-06,1.328
0.380864,0.0011893,1.72313e-06,1.332
0.380864,0.00119628,9.58058e-07,1.336
0.380864,0.00120329,5.3268e-07,1.34
0.380864,0.00121031,-7.64029e-05,1.344
0.380864,0.00121735,3.4219e-05,1.348
0.380864,0.00122442,1.90258e-05,1.352
0.380864,0.0012315,1.05783e-05,1.356
0.380864,0.0012386,5.88155e-06,1.36
0.380864,0.00124572,-7.34289e-05,1.364
0.380864,0.00125286,3.58726e-05,1.368
0.380864,0.00126002,-5.67539e-05,1.372
0.380864,0.0012672,4.51439e-05,1.376
0.380864,0.0012744,-5.1599e-05,1.38
0.380864,0.00128162,4.801e-05,1.384
0.380864,0.00128886,2.66935e-05,1.388
0.380864,0.00129611,1.48416e-05,1.392
0.380864,0.00130339,-6.84471e-05,1.396
0.380864,0.00131068,3.86424e-05,1.4
0.380864,0.001318,2.14852e-05,1.404
0.380864,0.00132533,1.19458e-05,1.408
0.380864,0.00133268,6.64185e-06,1.412
0.380864,0.00134006,3.69287e-06,1.416
0.380864,0.00134745,-7.46458e-05,1.42
0.380864,0.00135486,3.5196e-05,1.424
0.380864,0.00136229,1.9569e-05,1.428
0.380864,0.00136974,1.08803e-05,1.432
0.380864,0.00137721,6.04947e-06,1.436
0.380864,0.00138469,3.3635e-06,1.44
0.380864,0.0013922,1.87011e-06,1.444
0.380864,0.00139973,1.03978e-06,1.448
0.380864,0.00140727,5.78118e-07,1.452
0.380864,0.00141484,3.21434e-07,1.456
0.380864,0.00142242,1.78717e-07,1.46
0.380864,0.00143002,9.93667e-08,1.464
0.380864,0.00143764,5.52479e-08,1.468
0.380864,0.00144529,3.07178e-08,1.472
0.380864,0.00145295,1.70791e-08,1.476
0.380864,0.00146062,9.49598e-09,1.48
0.380864,0.00146832,5.27977e-09,1.484
0.380864,0.00147604,2.93555e-09,1.488
0.380864,0.00148378,1.63217e-09,1.492
0.380864,0.00149153,9.07484e-10,1.496
0.380864,0.00149931,5.04561e-10,1.5
0.380864,0.0015071,2.80536e-10,1.504
0.380864,0.00151491,1.55978e-10,1.508
0.380864,0.00152275,8.67238e-11,1.512
0.380864,0.0015306,4.82184e-11,1.516
0.380864,0.00153847,2.68094e-11,1.52
0.380864,0.00154635,1.49061e-11,1.524
0.380864,0.00155426,8.28777e-12,1.528
0.380864,0.00156219,4.608e-12,1.532
0.380864,0.00157014,2.56205e-12,1.536
0.380864,0.0015781,1.4245e-12,1.54
0.380864,0.00158608,7.92021e-13,1.544
0.380864,0.00159409,4.40364e-13,1.548
0.380864,0.00160211,2.44842e-13,1.552
0.380864,0.00161015,1.36132e-13,1.556
0.380864,0.00161821,7.56895e-14,1.56
0.380864,0.00162629,4.20834e-14,1.564
0.380864,0.00163438,2.33984e-14,1.568
0.380864,0.0016425,1.30095e-14,1.572
0.380864,0.00165064,7.23327e-15,1.576
0.380864,0.00165879,4.0217e-15,1.58
0.380864,0.00166696,2.23607e-15,1.584
0.380864,0.00167516,1.24325e-15,1.588
0.380864,0.00168337,6.91248e-16,1.592
0.380864,0.0016916,3.84334e-16,1.596
0.380864,0.00169984,2.1369e-16,1.6
0.380864,0.00170811,1.18812e-16,1.604
0.380864,0.0017164,6.60592e-17,1.608
0.380864,0.0017247,3.67289e-17,1.612
0.380864,0.00173303,2.04213e-17,1.616
0.380864,0.00174137,1.13542e-17,1.62
0.380864,0.00174973,6.31295e-18,1.624
0.380864,0.00175811,3.51e-18,1.628
0.380864,0.00176651,1.95156e-18,1.632
0.380864,0.00177493,1.08507e-18,1.636
0.380864,0.00178336,6.03298e-19,1.64
0.380864,0.00179182,3.35433e-19,1.644
0.380864,0.00180029,1.86501e-19,1.648
0.380864,0.00180878,1.03695e-19,1.652
0.380864,0.0018173,5.76542e-20,1.656
0.380864,0.00182583,3.20557e-20,1.66
0.380864,0.00183437,1.7823e-20,1.664
0.380864,0.00184294,9.90958e-21,1.668
0.380864,0.00185153,5.50973e-21,1.672
0.380864,0.00186013,3.06341e-21,1.676
0.380864,0.00186876,1.70325e-21,1.68
0.380864,0.0018774,9.47009e-22,1.684
0.380864,0.00188606,5.26537e-22,1.688
0.380864,0.00189474,2.92755e-22,1.692
0.380864,0.00190344,1.62772e-22,1.696
0.380864,0.00191215,9.0501e-23,1.7
0.380864,0.00192089,5.03186e-23,1.704
0.380864,0.00192964,2.79771e-23,1.708
0.380864,0.00193841,1.55553e-23,1.712
0.380865,0.00194721,3.83495e-05,1.716
0.380864,0.00195602,-1.70272e-05,1.72
0.380864,0.00196484,-9.46711e-06,1.724
0.380864,0.00197369,-5.26372e-06,1.728
0.380864,0.00198256,-2.92663e-06,1.732
0.380864,0.00199144,-1.6272e-06,1.736
0.380864,0.00200034,-9.04725e-07,1.74
0.380864,0.00200926,-5.03027e-07,1.744
0.380864,0.0020182,-2.79683e-07,1.748
0.380864,0.00202716,-1.55504e-07,1.752
0.380864,0.00203614,-8.64601e-08,1.756
0.380864,0.00204513,-4.80718e-08,1.76
0.380864,0.00205414,-2.67279e-08,1.764
0.380864,0.00206318,-1.48607e-08,1.768
0.380864,0.00207223,-8.26257e-09,1.772
0.380864,0.00208129,-4.59399e-09,1.776
0.380864,0.00209038,-2.55426e-09,1.78
0.380864,0.00209949,-1.42017e-09,1.784
0.380864,0.00210861,-7.89613e-10,1.788
0.380864,0.00211775,-4.39025e-10,1.792
0.380864,0.00212691,-2.44098e-10,1.796
0.380864,0.00213609,-1.35718e-10,1.8
0.380864,0.00214529,-7.54594e-11,1.804
0.380864,0.00215451,-4.19554e-11,1.808
0.380864,0.00216374,-2.33272e-11,1.812
0.380864,0.00217299,-1.29699e-11,1.816
0.380864,0.00218226,-7.21128e-12,1.82
0.380864,0.00219155,-4.00947e-12,1.824
0.380864,0.00220086,-2.22927e-12,1.828
0.380864,0.00221019,-7.6699e-05,1.832
0.380864,0.00221953,3.40544e-05,1.836
0.380864,0.00222889,1.89342e-05,1.84
0.380864,0.00223827,1.05274e-05,1.844
0.380864,0.00224767,5.85325e-06,1.848
0.380864,0.00225709,3.25441e-06,1.852
0.380864,0.00226653,1.80945e-06,1.856
0.380864,0.00227598,1.00605e-06,1.86
0.380864,0.00228545,5.59366e-07,1.864
0.380864,0.00229494,3.11008e-07,1.868
0.380864,0.00230445,1.7292e-07,1.872
0.380864,0.00231398,9.61437e-08,1.876
0.380864,0.00232352,5.34559e-08,1.88
0.380864,0.00233309,2.97215e-08,1.884
0.380864,0.00234267,1.65251e-08,1.888
0.380864,0.00235227,9.18798e-09,1.892
0.380864,0.00236189,5.10851e-09,1.896
0.380864,0.00237152,2.84033e-09,1.9
0.380864,0.00238118,1.57923e-09,1.904
0.380864,0.00239085,8.7805e-10,1.908
0.380864,0.00240054,4.88196e-10,1.912
0.380864,0.00241025,2.71437e-10,1.916
0.380864,0.00241997,1.50919e-10,1.92
0.380864,0.00242972,8.39109e-11,1.924
0.380864,0.00243948,4.66544e-11,1.928
0.380864,0.00244926,2.59399e-11,1.932
0.380864,0.00245906,1.44226e-11,1.936
0.380864,0.00246888,8.01895e-12,1.94
0.380864,0.00247871,4.45853e-12,1.944
0.380864,0.00248857,2.47895e-12,1.948
0.380864,0.00249844,1.37829e-12,1.952
0.380864,0.00250833,7.66331e-13,1.956
0.380864,0.00251824,4.2608e-13,1.96
0.380864,0.00252816,2.36901e-13,1.964
0.380864,0.0025381,1.31717e-13,1.968
0.380864,0.00254807,7.32345e-14,1.972
0.380864,0.00255805,4.07184e-14,1.976
0.380864,0.00256804,2.26394e-14,1.98
