joint_pos, joint_vel_desired, joint_vel_filtered, current_time
6.28794e-05,0.00989831,-3.54749e-05,0.748
6.28794e-05,0.01,-1.9724e-05,0.752
6.32249e-05,0.0101022,2.73829e-05,0.756
6.32249e-05,0.0102049,1.52249e-05,0.76
6.32249e-05,0.010308,8.46505e-06,0.764
6.28794e-05,0.0104116,-3.36429e-05,0.768
6.32249e-05,0.0105157,1.9644e-05,0.772
6.32249e-05,0.0106202,1.09221e-05,0.776
6.39159e-05,0.0107252,8.27717e-05,0.78
6.35704e-05,0.0108307,7.67155e-06,0.784
6.32249e-05,0.0109366,-3.40841e-05,0.788
6.32249e-05,0.011043,-1.89508e-05,0.792
6.32249e-05,0.0111498,-1.05366e-05,0.796
6.32249e-05,0.0112572,-5.85837e-06,0.8
6.32249e-05,0.0113649,-3.25725e-06,0.804
6.39159e-05,0.0114732,7.4888e-05,0.808
6.32249e-05,0.0115819,-3.50613e-05,0.812
6.35704e-05,0.0116911,1.88554e-05,0.816
6.39159e-05,0.0118007,4.88331e-05,0.82
6.32249e-05,0.0119108,-4.95478e-05,0.824
6.35704e-05,0.0120213,1.08009e-05,0.828
6.32249e-05,0.0121323,-3.23442e-05,0.832
6.32249e-05,0.0122438,-1.79834e-05,0.836
6.39159e-05,0.0123557,6.67003e-05,0.84
6.39159e-05,0.0124681,3.70853e-05,0.844
6.32249e-05,0.0125809,-5.60796e-05,0.848
6.39159e-05,0.0126942,4.55188e-05,0.852
6.32249e-05,0.0128079,-5.13906e-05,0.856
6.32249e-05,0.0129221,-2.85732e-05,0.86
6.32249e-05,0.0130368,-1.58867e-05,0.864
6.32249e-05,0.0131518,-8.83299e-06,0.868
6.39159e-05,0.0132674,7.17879e-05,0.872
6.32249e-05,0.0133834,-3.6785e-05,0.876
6.39159e-05,0.0134998,5.62466e-05,0.88
6.39159e-05,0.0136167,3.12731e-05,0.884
6.35704e-05,0.013734,-2.09617e-05,0.888
6.28794e-05,0.0138518,-8.83537e-05,0.892
6.35704e-05,0.01397,2.75744e-05,0.896
6.39159e-05,0.0140887,5.36809e-05,0.9
6.32249e-05,0.0142078,-4.68525e-05,0.904
6.28794e-05,0.0143273,-6.43995e-05,0.908
6.32249e-05,0.0144473,2.5434e-06,0.912
6.35704e-05,0.0145678,3.97636e-05,0.916
6.28794e-05,0.0146886,-5.45904e-05,0.92
6.39159e-05,0.01481,8.46963e-05,0.924
6.35704e-05,0.0149317,8.7416e-06,0.928
6.28794e-05,0.0150539,-7.18387e-05,0.932
6.32249e-05,0.0151765,-1.5928e-06,0.936
6.32249e-05,0.0152996,-8.85597e-07,0.94
6.35704e-05,0.0154231,3.78571e-05,0.944
6.28794e-05,0.0155471,-5.56505e-05,0.948
6.28794e-05,0.0156714,-3.09417e-05,0.952
